101;Chlidonias niger (Linnaeus, 1758);3371;Charadriiformes;Laridae;01/01/1822;18/10/1952
102;Chroicocephalus ridibundus (Linnaeus, 1766);530157;Charadriiformes;Laridae;03/10/1909;19/07/1990
103;Ciconia ciconia (Linnaeus, 1758);2517;Pelecaniformes;Ciconiidae;11/03/1869;17/06/1877
104;Ciconia nigra (Linnaeus, 1758);2514;Pelecaniformes;Ciconiidae;08/09/1880;18/08/1887
105;Cinclus cinclus (Linnaeus, 1758);3958;Passeriformes;Cinclidae;14/03/1871;04/09/2003
106;Circaetus gallicus (Gmelin, 1788);2873;Accipitriformes;Accipitridae;06/05/1872;04/04/1980
107;Circus aeruginosus (Linnaeus, 1758);2878;Accipitriformes;Accipitridae;10/09/1868;10/02/2003
108;Circus cyaneus (Linnaeus, 1758);2881;Accipitriformes;Accipitridae;19/11/1868;07/10/1996
109;Circus macrourus (S. G. Gmelin, 1771);2884;Accipitriformes;Accipitridae;28/04/1882;08/04/1885
110;Circus pygargus (Linnaeus, 1758);2887;Accipitriformes;Accipitridae;01/01/1810;01/05/1989
111;Cisticola juncidis (Rafinesque, 1810);4155;Passeriformes;Cisticolidae;17/11/1881;31/03/1952
112;Clamator glandarius (Linnaeus, 1758);3461;Cuculiformes;Cuculidae;18/06/1947;16/08/1968
113;Clanga pomarina (C. L. Brehm, 1831);836345;Accipitriformes;Accipitridae;03/11/1885;03/11/1885
114;Clangula hyemalis (Linnaeus, 1758);2790;Anseriformes;Anatidae;26/11/1922;26/11/1922
115;Coccothraustes coccothraustes (Linnaeus, 1758);4625;Passeriformes;Fringillidae;28/03/1882;23/10/1998
116;Coccyzus erythropthalmus (Wilson, 1811);199394;Cuculiformes;Cuculidae;20/07/1886;20/07/1886
117;Colinus virginianus (Linnaeus, 1758);3017;Galliformes;Odontophoridae;07/11/1938;29/11/1973
118;Columba livia Gmelin, 1789;3420;Columbiformes;Columbidae;13/09/1879;24/09/1975
119;Columba oenas Linnaeus, 1758;3422;Columbiformes;Columbidae;02/04/1869;15/05/1988
120;Columba palumbus Linnaeus, 1758;3424;Columbiformes;Columbidae;01/01/1908;25/02/1998
121;Coracias garrulus Linnaeus, 1758;3586;Coraciiformes;Coraciidae;06/09/1883;02/09/1953
122;Corvus corax Linnaeus, 1758;4510;Passeriformes;Corvidae;20/05/1869;10/02/1969
123;Corvus corone cornix Linnaeus, 1758;4505;Passeriformes;Corvidae;27/11/1868;01/02/1953
124;Corvus corone corone Linnaeus, 1758;4507;Passeriformes;Corvidae;12/01/1883;17/07/2008
125;Corvus frugilegus Linnaeus, 1758;4501;Passeriformes;Corvidae;08/11/1872;01/06/1952
126;Corvus monedula spermologus (Vieillot, 1821);4499;Passeriformes;Corvidae;05/06/1903;31/03/1963
127;Corvus monedula Linnaeus, 1758;4494;Passeriformes;Corvidae;01/07/1916;18/06/1973
128;Coturnix coturnix (Linnaeus, 1758);2996;Galliformes;Phasianidae;25/07/1882;30/04/1983
129;Crex crex (Linnaeus, 1758);3053;Gruiformes;Rallidae;04/05/1872;31/10/1961
130;Cuculus canorus Linnaeus, 1758;3465;Cuculiformes;Cuculidae;30/05/1875;26/09/1990
131;Delichon urbicum (Linnaeus, 1758);459478;Passeriformes;Hirundinidae;01/07/1868;15/08/1991
132;Dendrocopos major (Linnaeus, 1758);3611;Piciformes;Picidae;20/10/1879;24/09/1994
133;Dendrocopos medius (Linnaeus, 1758);3619;Piciformes;Picidae;03/05/1869;22/09/1954
134;Dendrocopos minor (Linnaeus, 1758);3630;Piciformes;Picidae;04/06/1877;01/06/1983
135;Dryocopus martius (Linnaeus, 1758);3608;Piciformes;Picidae;06/10/1879;02/05/2004
136;Egretta garzetta (Linnaeus, 1766);2497;Pelecaniformes;Ardeidae;01/05/1906;19/04/1942
